								
Playlist download for:

Station: KALX
DJ: Kendra Levine
Number of entries: 9999999
Fields are comma delimited, in the following header order:

playid,show,playtype,genre,timestamp,artist,title,albumtitle,label,prepost,programtype,iswebcast,isrequest
14134750,Kendra K,Feature Single,,03-04-2015 @ 08:55:00,Connections,I Got Time,5 Imaginary Boys EP,Hozac,,live,y,
14134749,Kendra K,Feature,,03-04-2015 @ 08:53:00,Lunchbox,Tom, What's Wrong?,Lunchbox Loves You,Jigsaw,,live,y,
14134698,Kendra K,,,03-04-2015 @ 08:50:00,Ernest Tubb,I'll Get Along Somehow,The Ernest Tubb Story,MCA,,live,y,
14134689,Kendra K,Feature Single,,03-04-2015 @ 08:45:00,Sheer Mag,What You Want,What You Want,Wilsun's,,live,y,
14134647,Kendra K,Feature,,03-04-2015 @ 08:41:00,Aerosols,China,Fake Mirror,World Famous In SF,,live,y,
14134625,Kendra K,,,03-04-2015 @ 08:36:00,Redbone,Come and Get Your Love,Wovoka,Epic,,live,y,y
14134583,Kendra K,Feature Single,,03-04-2015 @ 08:29:00,Mantles,Undelivered,Memory,Slumberland,,live,y,
14134573,Kendra K,,,03-04-2015 @ 08:26:00,Barry McGuire,The Sins of a Family,Eve of Destruction,Dunhill,,live,y,
14134561,Kendra K,,,03-04-2015 @ 08:22:00,Joe Tex,Papa Was Too,I Believe I'm Gonna Make It,Rhino,,live,y,
14134543,Kendra K,Single,,03-04-2015 @ 08:18:00,Atmosphere,Modern Man's Hustle,Modern Man's Hustle,FB,,live,y,
14134421,Kendra K,Feature,,03-04-2015 @ 07:57:00,Poison Girls,Ideologically Unsound,Hex,Water Wing,,live,y,n
14134408,Kendra K,Feature Single,,03-04-2015 @ 07:55:00,Bad Daddies,Festering Brine,Bad Daddies/Hard Left,Emotional Response,,live,y,
14134396,Kendra K,Single,,03-04-2015 @ 07:52:00,Wax Idols,All Too Human,All Too Human,Hozac,,live,y,
14134387,Kendra K,Feature Single,,03-04-2015 @ 07:50:00,Most Best,Gold,Gold/Bitchy Beats,Bonus Druthers,,live,y,
14134386,Kendra K,,,03-04-2015 @ 07:42:00,John Lee Hooker,Boom Boom Boom,Urban Blues,Bluesway,,live,y,y
14134385,Kendra K,,,03-04-2015 @ 07:40:00,Cuck Berry,Talking About You,The Great Twenty Eight,Chess,,live,y,
14134384,Kendra K,Single,,03-04-2015 @ 07:35:00,Maureen Tucker,Around and Around,Around and Around,Trash Records,,live,y,
14134309,Kendra K,Feature,,03-04-2015 @ 07:33:00,Sir Lord Von Raven,In The Cups,The Age of Machines,Guitars &amp; Bongos,,live,y,
14134251,Kendra K,Single,,03-04-2015 @ 07:28:00,Heavens To Betsy,Driving Song,Direction,Chainsaw,,live,y,
14134245,Kendra K,Feature,,03-04-2015 @ 07:27:00,Erase Erata,Scattered Means,Lost Weekend,Under The Sun,,live,y,
14134210,Kendra K,,,03-04-2015 @ 07:16:00,Blur,Tender,13,Virgin,,live,y,y
14134177,Kendra K,,,03-04-2015 @ 07:11:00,Kinks,Arthur,Arthur,Reprise,,live,y,y
14134171,Kendra K,,,03-04-2015 @ 07:08:00,Johnny Cash,Without Love,Columbia Records 1958-1986,Columbia,,live,y,
14134150,Kendra K,,,03-04-2015 @ 07:05:00,Billy &quot;Crash&quot; Craddock,Station Wagon Mama (Car Pool Queen),Laughing and Crying Living And Dying,Capitol,,live,y,
